s	arp
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	1
1.2	1
1.3	1
1.4	1
1.5	1
1.6	1
1.7	1
1.8	1
1.9	1
2.0	1
2.1	2
2.2	2
2.3	2
2.4	2
2.5	2
2.6	2
2.7	2
2.8	2
2.9	2
3.0	2
3.1	3
3.2	3
3.3	3
3.4	3
3.5	3
3.6	3
3.7	3
3.8	3
3.9	3
4.0	3
4.1	924
4.2	1768
4.3	2660
4.4	3558
4.5	4457
4.6	5357
4.7	6281
4.8	7212
4.9	8098
5.0	8994
5.1	10822
5.2	12682
5.3	14525
5.4	16290
5.5	18207
5.6	20136
5.7	22043
5.8	23949
5.9	25716
6.0	27550
6.1	29212
6.2	30817
6.3	32383
6.4	34008
6.5	35621
6.6	37272
6.7	38919
6.8	40568
6.9	42238
7.0	43892
7.1	45485
7.2	47052
7.3	48596
7.4	50171
7.5	51682
7.6	53233
7.7	54752
7.8	56277
7.9	57842
8.0	59334
8.1	60827
8.2	62355
8.3	63929
8.4	65475
8.5	67051
8.6	68581
8.7	70126
8.8	71672
8.9	73172
9.0	74687
9.1	76145
9.2	77697
9.3	79351
9.4	81002
9.5	82676
9.6	84320
9.7	85980
9.8	87580
9.9	89146
10.0	90709
10.1	92326
10.2	93761
10.3	95281
10.4	96914
10.5	98571
10.6	100207
10.7	101839
10.8	103467
10.9	105138
11.0	106810
11.1	108342
11.2	109819
11.3	111290
11.4	112951
11.5	114628
11.6	116313
11.7	118040
11.8	119760
11.9	121380
12.0	122823
12.1	124261
12.2	125799
12.3	127215
12.4	128687
12.5	130150
12.6	131620
12.7	133043
12.8	134480
12.9	136002
13.0	137385
13.1	138830
13.2	140330
13.3	141806
13.4	143203
13.5	144587
13.6	145963
13.7	147403
13.8	148856
13.9	150218
14.0	151618
14.1	152929
14.2	154372
14.3	155740
14.4	157075
14.5	158447
14.6	159754
14.7	161136
14.8	162545
14.9	163909
15.0	165350
15.1	166646
15.2	167891
15.3	169105
15.4	170427
15.5	171706
15.6	173062
15.7	174418
15.8	175842
15.9	177093
16.0	178402
16.1	179669
16.2	180947
16.3	182288
16.4	183632
16.5	184959
16.6	186263
16.7	187523
16.8	188836
16.9	190042
17.0	191390
17.1	192755
17.2	194031
17.3	195386
17.4	196718
17.5	197955
17.6	199276
17.7	200584
17.8	201860
17.9	203126
18.0	204481
18.1	205827
18.2	207112
18.3	208261
18.4	209541
18.5	210713
18.6	211910
18.7	213125
18.8	214336
18.9	215551
19.0	216767
19.1	217915
19.2	219131
19.3	220268
19.4	221436
19.5	222718
19.6	223934
19.7	225105
19.8	226274
19.9	227423
20.0	228594
20.1	229786
20.2	230947
20.3	232086
20.4	233239
20.5	234360
20.6	235521
20.7	236645
20.8	237755
20.9	238917
21.0	239996
21.1	241146
21.2	242333
21.3	243402
21.4	244536
21.5	245598
21.6	246773
21.7	247924
21.8	248996
21.9	250153
22.0	251244
22.1	252346
22.2	253339
22.3	254467
22.4	255489
22.5	256598
22.6	257736
22.7	258773
22.8	259807
22.9	260842
23.0	261823
23.1	262793
23.2	263919
23.3	264973
23.4	266045
23.5	267127
23.6	268178
23.7	269283
23.8	270281
23.9	271329
24.0	272411
24.1	273555
24.2	274637
24.3	275661
24.4	276702
24.5	277705
24.6	278722
24.7	279837
24.8	280946
24.9	281994
25.0	283150
25.1	284265
25.2	285423
25.3	286587
25.4	287633
25.5	288808
25.6	289970
25.7	291100
25.8	292151
25.9	293283
26.0	294387
26.1	295648
26.2	296751
26.3	297845
26.4	298839
26.5	299873
26.6	300973
26.7	302087
26.8	303194
26.9	304280
27.0	305342
27.1	306511
27.2	307598
27.3	308712
27.4	309891
27.5	310911
27.6	312050
27.7	313021
27.8	313949
27.9	315018
28.0	315983
28.1	317091
28.2	318101
28.3	319179
28.4	320299
28.5	321412
28.6	322444
28.7	323599
28.8	324688
28.9	325710
29.0	326690
29.1	327794
29.2	328805
29.3	329794
29.4	330797
29.5	331797
29.6	332764
29.7	333878
29.8	334875
29.9	335855
30.0	336960
30.1	338022
30.2	339082
30.3	340229
30.4	341255
30.5	342342
30.6	343486
30.7	344547
30.8	345674
30.9	346705
31.0	347809
31.1	348870
31.2	349918
31.3	350870
31.4	351939
31.5	352968
31.6	354051
31.7	355050
31.8	356040
31.9	357043
32.0	358120
32.1	359220
32.2	360251
32.3	361362
32.4	362350
32.5	363356
32.6	364447
32.7	365364
32.8	366375
32.9	367426
33.0	368425
33.1	369443
33.2	370449
33.3	371576
33.4	372706
33.5	373917
33.6	374295
33.7	374295
33.8	374295
33.9	374295
34.0	374295
