s	p
0.0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	1
2.0	1
2.1	1
2.2	1
2.3	1
2.4	1
2.5	1
2.6	1
2.7	1
2.8	1
2.9	1
3.0	1
3.1	1
3.2	1
3.3	1
3.4	1
3.5	1
3.6	1
3.7	1
3.8	1
3.9	2
4.0	2
4.1	2
4.2	2
4.3	2
4.4	2
4.5	2
4.6	2
4.7	2
4.8	2
4.9	2
5.0	2
5.1	2
5.2	2
5.3	2
5.4	2
5.5	2
5.6	2
5.7	2
5.8	2
5.9	3
6.0	3
6.1	3
6.2	3
6.3	3
6.4	3
6.5	3
6.6	3
6.7	3
6.8	3
6.9	3
7.0	3
7.1	3
7.2	3
7.3	3
7.4	3
7.5	3
7.6	3
7.7	3
7.8	3
7.9	4
8.0	4
8.1	4
8.2	4
8.3	4
8.4	4
8.5	4
8.6	4
8.7	4
8.8	4
8.9	4
9.0	4
9.1	4
9.2	4
9.3	4
9.4	4
9.5	4
9.6	4
9.7	5
9.8	5
9.9	6
10.0	6
10.1	6
10.2	6
10.3	6
10.4	6
10.5	6
10.6	6
10.7	7
10.8	7
10.9	7
11.0	7
11.1	7
11.2	7
11.3	7
11.4	7
11.5	7
11.6	7
11.7	8
11.8	8
11.9	9
12.0	9
12.1	9
12.2	9
12.3	9
12.4	9
12.5	9
12.6	9
12.7	10
12.8	10
12.9	10
13.0	10
13.1	10
13.2	10
13.3	10
13.4	10
13.5	10
13.6	10
13.7	11
13.8	11
13.9	12
14.0	12
14.1	12
14.2	12
14.3	12
14.4	12
14.5	12
14.6	12
14.7	13
14.8	13
14.9	13
15.0	13
15.1	13
15.2	13
15.3	13
15.4	13
15.5	13
15.6	13
15.7	14
15.8	14
15.9	15
16.0	15
16.1	15
16.2	15
16.3	15
16.4	15
16.5	15
16.6	15
16.7	16
16.8	16
16.9	18
17.0	18
17.1	18
17.2	18
17.3	18
17.4	18
17.5	18
17.6	18
17.7	19
17.8	19
17.9	20
18.0	20
18.1	20
18.2	20
18.3	20
18.4	20
18.5	20
18.6	20
18.7	21
18.8	21
18.9	21
19.0	21
19.1	21
19.2	21
19.3	21
19.4	21
19.5	21
19.6	21
19.7	22
19.8	22
19.9	23
20.0	23
20.1	23
20.2	23
20.3	23
20.4	23
20.5	23
20.6	23
20.7	24
20.8	24
20.9	24
21.0	24
21.1	24
21.2	24
21.3	24
21.4	24
21.5	24
21.6	24
21.7	25
21.8	25
21.9	26
22.0	26
22.1	26
22.2	26
22.3	26
22.4	26
22.5	26
22.6	26
22.7	26
22.8	26
22.9	26
23.0	26
23.1	27
23.2	27
23.3	27
23.4	27
23.5	27
23.6	27
23.7	27
23.8	27
23.9	27
24.0	27
24.1	27
24.2	27
24.3	27
24.4	27
24.5	27
24.6	27
24.7	27
24.8	27
24.9	28
25.0	28
25.1	29
25.2	29
25.3	29
25.4	29
25.5	29
25.6	29
25.7	29
25.8	29
25.9	30
26.0	30
26.1	30
26.2	30
26.3	30
26.4	30
26.5	30
26.6	30
26.7	30
26.8	30
26.9	31
27.0	31
27.1	32
27.2	32
27.3	32
27.4	32
27.5	32
27.6	32
27.7	32
27.8	32
27.9	33
28.0	33
28.1	33
28.2	33
28.3	33
28.4	33
28.5	33
28.6	33
28.7	33
28.8	33
28.9	34
29.0	34
29.1	35
29.2	35
29.3	35
29.4	35
29.5	35
29.6	35
29.7	35
29.8	35
29.9	36
30.0	36
30.1	36
30.2	36
30.3	36
30.4	36
30.5	36
30.6	36
30.7	36
30.8	36
30.9	37
31.0	37
31.1	38
31.2	38
31.3	38
31.4	38
31.5	38
31.6	38
31.7	38
31.8	38
31.9	39
32.0	39
32.1	41
32.2	41
32.3	41
32.4	41
32.5	41
32.6	41
32.7	41
32.8	41
32.9	42
33.0	42
33.1	43
33.2	43
33.3	43
33.4	43
33.5	43
33.6	43
33.7	43
33.8	43
33.9	44
